tileswide 44
tileshigh 22
tilewidth 16
tileheight 16

layer 0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,124,125,122,123,-1,-1,-1,-1,-1,-1,-1,-1,
122,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,40,40,112,-1,-1,-1,-1,-1,-1,-1,-1,
40,122,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,40,40,40,112,-1,-1,-1,-1,-1,-1,-1,-1,
40,40,122,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111,40,40,121,40,40,40,40,122,123,-1,-1,-1,-1,-1,-1,-1,
40,40,40,122,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111,40,40,40,40,40,40,40,40,122,123,-1,-1,-1,-1,-1,-1,
40,104,105,40,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111,40,40,40,40,102,40,40,40,40,122,123,-1,-1,-1,-1,-1,
40,114,115,40,122,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,40,40,40,40,40,40,40,112,-1,-1,-1,-1,-1,
40,114,115,40,51,122,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,40,40,40,104,128,126,105,40,112,-1,-1,-1,-1,-1,
40,124,125,40,40,40,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,104,105,40,40,114,0,0,115,40,122,123,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,40,114,115,40,40,124,127,127,125,40,40,112,-1,-1,-1,-1,
-1,-1,40,40,40,40,40,40,40,40,40,40,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,40,40,124,125,40,40,40,40,40,40,40,40,112,-1,-1,-1,-1,
-1,-1,40,40,40,40,40,40,40,40,40,102,103,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,108,109,40,40,40,40,40,40,40,40,40,40,40,112,-1,-1,-1,120,
-1,-1,40,40,40,104,105,40,40,40,40,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,111,40,40,40,40,118,119,40,40,40,40,40,40,40,40,40,40,40,112,-1,-1,120,121,
-1,-1,106,107,40,114,115,40,40,40,102,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,111,40,40,40,40,40,40,40,40,40,122,40,40,40,40,40,40,40,112,-1,-1,111,40,
-1,-1,116,117,40,124,125,40,40,40,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,40,104,105,40,40,40,40,40,40,104,126,128,105,40,112,-1,-1,111,40,
-1,-1,40,40,40,40,40,40,40,102,103,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,40,40,114,115,40,40,40,40,40,40,124,127,127,125,40,122,123,120,121,40,
-1,-1,40,104,105,40,40,40,102,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,111,40,40,40,40,40,101,124,125,40,40,40,40,40,40,40,40,40,40,40,40,122,121,40,40,
-1,-1,40,124,125,40,40,102,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
-1,-1,40,40,40,40,102,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,104,105,40,40,40,40,104,128,126,105,40,40,40,40,40,40,40,40,121,40,40,
-1,-1,40,40,40,40,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,40,124,125,40,40,40,40,124,127,127,125,40,40,40,40,40,40,40,40,40,40,40,
-1,104,105,40,40,102,103,0,-1,-1,-1,-1,-1,-1,-1,-1,120,121,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,104,105,40,40,
-1,124,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,114,115,-1,-1,

layer 1
